Date,Open,High,Low,Close,Adj Close,Volume
2023-11-13,445.799988,448.049988,443.399994,444.000000,444.000000,1676602
2023-11-15,452.000000,454.600006,448.299988,453.500000,453.500000,6546824
2023-11-16,456.000000,465.100006,455.600006,458.649994,458.649994,5242404
2023-11-17,458.700012,467.000000,458.100006,462.799988,462.799988,3127082
2023-11-20,464.399994,466.350006,455.149994,457.899994,457.899994,3519099
2023-11-21,461.000000,462.450012,457.500000,460.950012,460.950012,3627658
2023-11-22,463.799988,466.100006,456.350006,461.100006,461.100006,3568080
2023-11-23,462.000000,463.950012,458.450012,461.299988,461.299988,2011502
2023-11-24,461.450012,462.899994,457.049988,458.000000,458.000000,3563183
2023-11-28,460.700012,471.600006,459.450012,469.549988,469.549988,6212256
2023-11-29,478.899994,482.600006,470.149994,480.049988,480.049988,5859594
2023-11-30,488.049988,489.549988,466.299988,477.799988,477.799988,68396722
2023-12-01,479.850006,482.799988,474.649994,475.899994,475.899994,3570908
2023-12-04,485.450012,485.450012,475.700012,477.299988,477.299988,1789018
2023-12-05,478.200012,483.549988,474.899994,476.950012,476.950012,3449287
2023-12-06,479.399994,482.000000,475.200012,480.649994,480.649994,4427127
2023-12-07,482.350006,484.399994,477.000000,482.799988,482.799988,1793355
2023-12-08,484.500000,484.850006,472.200012,479.649994,479.649994,1578866
2023-12-11,481.299988,485.799988,480.000000,483.850006,483.850006,1517978
2023-12-12,485.950012,485.950012,475.100006,476.399994,476.399994,1918959
2023-12-13,476.000000,485.799988,476.000000,484.850006,484.850006,4274159
2023-12-14,486.200012,488.000000,484.700012,487.100006,487.100006,1530952
2023-12-15,489.750000,495.000000,486.500000,492.600006,492.600006,3559870
2023-12-18,493.450012,493.549988,488.549988,489.799988,489.799988,1571446
2023-12-19,489.799988,492.350006,486.649994,488.299988,488.299988,1467282
2023-12-20,488.600006,490.500000,470.000000,471.200012,471.200012,1697269
2023-12-21,465.450012,477.200012,463.500000,474.750000,474.750000,1514460
2023-12-22,483.000000,489.750000,476.850006,486.899994,486.899994,1842806
2023-12-26,487.000000,490.299988,482.100006,483.950012,483.950012,867587
2023-12-27,489.000000,496.149994,485.149994,494.549988,494.549988,1568112
2023-12-28,496.049988,507.350006,495.000000,505.950012,505.950012,2871208
2023-12-29,508.850006,537.299988,506.049988,519.299988,519.299988,6032339
2024-01-01,521.799988,531.900024,519.700012,525.950012,525.950012,1087850
2024-01-02,530.900024,535.099976,516.500000,520.549988,520.549988,2246857
2024-01-03,520.250000,523.950012,515.049988,518.700012,518.700012,1817919
2024-01-04,530.000000,532.849976,525.049988,529.849976,529.849976,1498818
2024-01-05,531.200012,535.700012,522.450012,526.500000,526.500000,1124361
2024-01-08,531.599976,532.650024,524.000000,524.950012,524.950012,753580
2024-01-09,533.500000,537.250000,526.950012,532.500000,532.500000,1676005
2024-01-10,532.500000,540.349976,526.900024,539.049988,539.049988,1876642
2024-01-11,544.000000,545.400024,538.900024,543.849976,543.849976,1155647
2024-01-12,543.950012,547.000000,539.500000,543.900024,543.900024,977255
2024-01-15,548.599976,548.599976,540.000000,542.299988,542.299988,813500
2024-01-16,540.299988,550.500000,540.299988,542.599976,542.599976,1329776
2024-01-17,540.000000,540.849976,533.950012,536.950012,536.950012,1362267
2024-01-18,536.950012,546.700012,527.299988,544.549988,544.549988,1508078
2024-01-19,545.450012,547.450012,543.549988,545.450012,545.450012,1129502
2024-01-23,543.450012,546.950012,525.849976,527.650024,527.650024,1690644
2024-01-24,530.000000,540.000000,518.450012,537.650024,537.650024,1778246
2024-01-25,537.650024,540.950012,531.599976,537.950012,537.950012,960432
2024-01-29,540.000000,567.650024,538.000000,564.450012,564.450012,2763703
2024-01-30,566.900024,589.400024,564.700012,571.400024,571.400024,4288051
2024-01-31,575.950012,593.950012,575.150024,584.000000,584.000000,4817498
2024-02-01,591.299988,592.750000,580.099976,582.500000,582.500000,1743239
2024-02-02,588.000000,594.799988,584.000000,586.750000,586.750000,1859105
2024-02-05,629.400024,631.799988,602.849976,614.950012,614.950012,6541778
2024-02-06,619.700012,623.000000,614.400024,619.349976,619.349976,1934121
2024-02-07,623.750000,625.150024,615.000000,618.400024,618.400024,1156465
2024-02-08,618.549988,621.000000,608.000000,611.000000,611.000000,1120104
2024-02-09,611.700012,612.000000,597.500000,605.000000,605.000000,1080587
2024-02-12,604.950012,612.750000,594.000000,600.349976,600.349976,1442956
2024-02-13,600.400024,606.099976,590.400024,599.950012,599.950012,1528679
2024-02-14,592.750000,608.799988,592.450012,607.599976,607.599976,1270780
2024-02-15,612.400024,614.950012,607.200012,610.250000,610.250000,591081
2024-02-16,614.799988,629.900024,613.700012,620.650024,620.650024,2518812
2024-02-19,621.250000,624.549988,612.099976,613.150024,613.150024,1615069
2024-02-20,615.400024,616.799988,607.549988,612.849976,612.849976,1106799
2024-02-21,612.849976,620.799988,606.099976,610.650024,610.650024,1234985
2024-02-22,610.000000,617.400024,604.450012,615.950012,615.950012,734009
2024-02-23,615.950012,619.650024,613.849976,615.849976,615.849976,1478016
2024-02-26,615.299988,622.700012,612.849976,615.450012,615.450012,1092912
2024-02-27,615.450012,635.000000,615.450012,633.500000,633.500000,2788505
2024-02-28,638.000000,643.000000,626.099976,632.049988,632.049988,3737911
2024-02-29,633.000000,636.250000,622.400024,632.250000,632.250000,3549054
2024-03-01,635.450012,653.849976,635.450012,650.349976,650.349976,3128848
2024-03-04,661.099976,664.400024,654.500000,660.299988,660.299988,1557944
2024-03-05,694.750000,712.599976,670.549988,678.549988,678.549988,12478678
2024-03-06,680.000000,683.799988,670.099976,678.700012,678.700012,2190307
2024-03-07,681.099976,694.849976,674.500000,689.349976,689.349976,2680042
